VehicleId	OfficialRuntimeIndex	CarName	UiName	KeyItemId
1	0	Hyundai Click	Kicker	pc_0000c
28	1	L6 Magnus Eagle	Condol	pc_0001c
3	2	Hyundai Avante Racing	Advance	pc_0002c
55	3	Ssangyong Korando	Ironia	pc_0003s
29	4	Hyundai Tuscani	Laputa	pc_0004c
56	5	Dodge Caliber	Caliber	pc_0005s
79	6	Honda Civic Coupe Si	Metro	pc_0070s
80	7	VW Golf GTI	Birdie RTI	pc_0071s
81	8	Nissan 240SX SE	Drifter	pc_0073s
94	9	Mazda2	April	pc_0085s
95	10	VW Golf GTI	Birdie RTI	pc_0092s
162	11	Pontiac GTO	Goat	pc_0162s
163	12	Pontiac GTO	Goat ST	pc_0163s
164	13	Pontiac GTO	Goat BT	pc_0164s
189	14	Nissan Skyline GTR Xmas	Cielo Xmas	pc_0189s
2	15	Toyota AE-86	Panda	pc_0006s
31	16	Hyundai NF Sonata	Ensony	pc_0007c
4	17	Smart City coupe	MMT1	pc_0008s
32	18	GM Daewoo Tosca	SS	pc_0009c
82	19	Mitsubishi Eclipse GS-T	Comet	pc_0072s
92	20	OPEL Corsa	BIT	pc_0083s
96	21	AC Shelby Cobra	Serpens	pc_0090s
171	22	Lamborghini Cauntach	Fervor	pc_0171s
172	23	Lamborghini Cauntach	Fervor ST	pc_0172s
173	24	Lamborghini Cauntach	Fervor BT	pc_0173s
161	25	Fiat NUOVA 500	Lupin	pc_0161s
6	26	Renault Clio V6	Muse	pc_0010s
36	27	Toyota MRS	Tokio	pc_0011s
8	28	Volkswagen NewBeetle	DragonFly	pc_0012s
58	29	Landrover Discovery TD5	Invention	pc_0013s
60	30	Toyota Hilux Surf	Boarding	pc_0014s
99	31	Nissan Cube	BOXY	pc_0091s
101	32	Solstice GXP	SkyLark	pc_0096s
143	33	Toyota Avanza	Kartan	pc_0143s
145	34	Honda Silvia S15	Coppelia	pc_0145s
152	35	Toyota 2000GT	Cityman	pc_0152s
5	36	Toyota Celica	Eric	pc_0015c
7	37	Peugeot 206CC	MPMCC	pc_0016s
57	38	Ford Focus RS	Spotlight	pc_0017s
59	39	Jeep Compass	Compass	pc_0018s
61	40	Nissan Murano 3.5	Village	pc_0019s
9	41	Mini Cooper S	Maxi	pc_0020s
83	42	Dakoda	Monster	pc_0074s
90	43	Peugeot 307	MP3p	pc_0081s
10	44	Mazda RX7	Rotary	pc_0021s
30	45	Toyota Supra	Above	pc_0022s
33	46	Chrysler Crossfire	CrossFire	pc_0023s
35	47	Lexus New IS 250	Dreamer	pc_0024c
37	48	New Design	Unlimit	pc_0025s
34	49	Nissan FairLady Z	Fairplay	pc_0026s
64	50	Chrysler PT Cruiser	PT Cruiser	pc_0027s
84	51	Mitsubishi LancerEvolution X	FondoX	pc_0075s
86	52	Peugeot 207	MPM7	pc_0077s
148	53	Honda NSX	Genius	pc_0148s
247	54	Daihatsu Conte	Compact	pc_0247s
11	55	Subaru Impreza	Impact	pc_0028c
13	56	Mazda RX8	Nova	pc_0029s
14	57	Audi TT	Comodo	pc_0030s
66	58	New Design2	Atoka	pc_0031s
17	59	Dodge Charger	Charger	pc_0032s
